북한규정번호,규정번호,고시번호,규정코드,주제어,내용,북한규정정렬순서,등록일시
1,247,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제4장 제14항","합친말은 매개 말뿌리의 본래형태를 각각 밝혀 적는것을 원칙으로 한다. 례1: 걷잡다, 낮보다, 눈웃음, 돋보다, 물오리, 밤알, 손아귀, 철없다, 꽃철, 끝나다 례2: 값있다, 겉늙다, 몇날, 빛나다, 칼날, 팥알, 흙내",0,2019-04-08 16:29:00
1,248,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제4장 제16항","합친말을 이룰 때에 빠진 소리는 빠진대로 적는다. 례: 다달이, 마소, 무넘이, 부나비, 부넘이, 부삽, 부손, 소나무, 수저, 화살, 여닫이",0,2018-11-21 10:14:00
1,249,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제4장 제17항","합친말에서 앞말뿌리의 끝소리 ≪ㄹ≫이 닫긴소리로 된것은 ≪ㄷ≫으로 적는다. 례: 나흗날, 사흗날, 섣달, 숟가락, 이튿날",1,2018-11-21 10:14:00
1,251,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제4장 제14항","합친말은 매개 말뿌리의 본래형태를 각각 밝혀 적는것을 원칙으로 한다.《암, 수》와 결합되는 동물의 이름이나 대상은 거센소리로 적지 않고 형태를 그대로 밝혀 적는다. 례: 수돼지, 암돼지, 수개, 암개, 수기와, 암기와",0,2019-04-08 16:32:00
1,252,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제2장 제7항",형태부의 소리가 줄어진 경우에는 준대로 적되 본래형태를 잘 파악할수 있도록 받침을 바로잡아 적는다. 옳음 그름 례: 갖가지(가지가지) 갓가지 갖고(가지고) 갓고 기럭아(기러기야) 기러가 딛고(디디고) 딧고 엊저녁(어제저녁) 엇저녁 온갖(온가지) 온갓,1,2018-11-21 10:26:00
1,254,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제3장 제12항","모음으로 끝난 말줄기와 모음으로 시작한 토가 어울릴 때에 소리가 줄어든것은 준대로 적는다. 례1: 가지다- 가지여, 가지였다 가지다- 가져, 가졌다 고이다- 고이여, 고이였다 괴다- 괴여, 괴였다 모이다- 모이여(모여), 모이였다(모였다) 뫼다- 뫼여, 뫼였다 보다- 보아, 보았다 보다- 봐, 봤다 주다- 주어, 주었다 주다- 줘, 줬다 꾸다- 꾸어, 꾸었다 꾸다- 꿔, 꿨다 뜨이다- 뜨이여, 뜨이였다 띄다- 띄여, 띄였다 쏘다- 쏘아, 쏘았다 쏘다- 쏴, 쐈다 쏘이다- 쏘이여, 쏘이였다 쐬다- 쐬여, 쐬였다 쓰이다- 쓰이여, 쓰이였다 씌다- 씌여, 씌였다 쪼이다- 쪼이여, 쪼이였다 쬐다- 쬐여, 쬐였다 례2: 되다- 되여서, 되였다 되다- 돼서, 됐다 하다- 하여서, 하였다 하다- 해서, 했다 례3: 개다- 개여서, 개였다 개다- 개서, 갰다 메다- 메여서, 메였다 메다- 메서, 멨다그러나 다음과 같은 단어들은 줄어든대로 적는다. 례3: 가다- 가, 갔다 사다- 사, 샀다 서다- 서, 섰다 켜다- 켜, 켰다",1,2018-11-21 10:56:00
1,255,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제3장 제12항","모음으로 끝난 말줄기와 모음으로 시작한 토가 어울릴 때에 소리가 줄어든것은 준대로 적는다. 례1: 가지다- 가지여, 가지였다 가지다- 가져, 가졌다 고이다- 고이여, 고이였다 괴다- 괴여, 괴였다 모이다- 모이여(모여), 모이였다(모였다) 뫼다- 뫼여, 뫼였다 보다- 보아, 보았다 보다- 봐, 봤다 주다- 주어, 주었다 주다- 줘, 줬다 꾸다- 꾸어, 꾸었다 꾸다- 꿔, 꿨다 뜨이다- 뜨이여, 뜨이였다 띄다- 띄여, 띄였다 쏘다- 쏘아, 쏘았다 쏘다- 쏴, 쐈다 쏘이다- 쏘이여, 쏘이였다 쐬다- 쐬여, 쐬였다 쓰이다- 쓰이여, 쓰이였다 씌다- 씌여, 씌였다 쪼이다- 쪼이여, 쪼이였다 쬐다- 쬐여, 쬐였다 례2: 되다- 되여서, 되였다 되다- 돼서, 됐다 하다- 하여서, 하였다 하다- 해서, 했다",1,2018-11-21 10:56:00
1,256,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제3장 제12항","모음으로 끝난 말줄기와 모음으로 시작한 토가 어울릴 때에 소리가 줄어든것은 준대로 적는다. 례1: 가지다- 가지여, 가지였다 가지다- 가져, 가졌다 고이다- 고이여, 고이였다 괴다- 괴여, 괴였다 모이다- 모이여(모여), 모이였다(모였다) 뫼다- 뫼여, 뫼였다 보다- 보아, 보았다 보다- 봐, 봤다 주다- 주어, 주었다 주다- 줘, 줬다 꾸다- 꾸어, 꾸었다 꾸다- 꿔, 꿨다 뜨이다- 뜨이여, 뜨이였다 띄다- 띄여, 띄였다 쏘다- 쏘아, 쏘았다 쏘다- 쏴, 쐈다 쏘이다- 쏘이여, 쏘이였다 쐬다- 쐬여, 쐬였다 쓰이다- 쓰이여, 쓰이였다 씌다- 씌여, 씌였다 쪼이다- 쪼이여, 쪼이였다 쬐다- 쬐여, 쬐였다그러나 다음과 같은 단어들은 줄어든대로 적는다. 례1: 살찌다- 살쪄, 살쪘다 지다- 져, 졌다 치다- 쳐, 쳤다 찌다- 쪄, 쪘다",1,2018-11-21 10:58:00
1,257,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제3장 제12항","모음으로 끝난 말줄기와 모음으로 시작한 토가 어울릴 때에 소리가 줄어든것은 준대로 적는다. 례1: 가지다- 가지여, 가지였다 가지다- 가져, 가졌다 고이다- 고이여, 고이였다 괴다- 괴여, 괴였다 모이다- 모이여(모여), 모이였다(모였다) 뫼다- 뫼여, 뫼였다 보다- 보아, 보았다 보다- 봐, 봤다 주다- 주어, 주었다 주다- 줘, 줬다 꾸다- 꾸어, 꾸었다 꾸다- 꿔, 꿨다 뜨이다- 뜨이여, 뜨이였다 띄다- 띄여, 띄였다 쏘다- 쏘아, 쏘았다 쏘다- 쏴, 쐈다 쏘이다- 쏘이여, 쏘이였다 쐬다- 쐬여, 쐬였다 쓰이다- 쓰이여, 쓰이였다 씌다- 씌여, 씌였다 쪼이다- 쪼이여, 쪼이였다 쬐다- 쬐여, 쬐였다",1,2018-11-21 11:13:00
1,258,4,한글 맞춤법,"조선말규범집(2010), 맞춤법 제3장 제12항","모음으로 끝난 말줄기와 모음으로 시작한 토가 어울릴 때에 소리가 줄어든것은 준대로 적는다. 례1: 가지다- 가지여, 가지였다 가지다- 가져, 가졌다 고이다- 고이여, 고이였다 괴다- 괴여, 괴였다 모이다- 모이여(모여), 모이였다(모였다) 뫼다- 뫼여, 뫼였다 보다- 보아, 보았다 보다- 봐, 봤다 주다- 주어, 주었다 주다- 줘, 줬다 꾸다- 꾸어, 꾸었다 꾸다- 꿔, 꿨다 뜨이다- 뜨이여, 뜨이였다 띄다- 띄여, 띄였다 쏘다- 쏘아, 쏘았다 쏘다- 쏴, 쐈다 쏘이다- 쏘이여, 쏘이였다 쐬다- 쐬여, 쐬였다 쓰이다- 쓰이여, 쓰이였다 씌다- 씌여, 씌였다 쪼이다- 쪼이여, 쪼이였다 쬐다- 쬐여, 쬐였다",1,2018-11-21 11:14:00
