용례번호,규정코드,외래어구분,대분류구분,중분류구분,한글표기,원어표기,로마자표기,국명,언어명,이표기1,이표기2,이표기3,오표기1,오표기2,오표기3,오표기4,오표기5,의미,출전,노출여부,등록일시,수정일시
25,외래어 표기법,일반 용어,,,델포이,Delphoe,,,기타 언어,,,,딜포이,델포,델포에,딜포,,고대 그리스의 유적지.,"편수자료, 용례집",Y,2022-02-23 14:45:00,
25,국어의 로마자 표기법,,행정 구역,행정 구역,하이면,,Hai-myeon,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
26,외래어 표기법,지명,,,딜로스섬,Dhilos,,그리스,기타 언어,,,,,,,,,,보유1,Y,2022-02-23 14:45:00,
26,국어의 로마자 표기법,,행정 구역,행정 구역,하거동,,Hageo-dong,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
27,외래어 표기법,지명,,,엘레우시스,Eleusis,,그리스,기타 언어,,,,,,,,,그리스의 아테네 북서쪽에 있는 도시.,표준국어대사전,Y,2022-02-23 14:45:00,
27,국어의 로마자 표기법,,행정 구역,행정 구역,하갈동,,Hagal-dong,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
28,외래어 표기법,일반 용어,,,엘리스,Elis,,그리스,기타 언어,,,,,,,,,"그리스 남부, 펠로폰네소스반도 북서쪽에 있는 지방.",표준국어대사전,Y,2022-02-23 14:45:00,
28,국어의 로마자 표기법,,행정 구역,행정 구역,풍유동,,Pungyu-dong,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
29,외래어 표기법,일반 용어,,,에페이로스,Epeiros,,그리스,기타 언어,,,,,,,,,그리스 고대 국가.,보유1,Y,2022-02-23 14:45:00,
29,국어의 로마자 표기법,,행정 구역,행정 구역,풍덕천동,,Pungdeokcheon-dong,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
30,외래어 표기법,지명,,,에리트라이,Erythrae,,"그리스, 튀르키예",기타 언어,,,,,,,,,에게해에 있던 고대 도시.,"편수자료, 용례집",Y,2022-02-23 14:45:00,2023-04-18 13:29:00
30,국어의 로마자 표기법,,행정 구역,행정 구역,풍남동3가,,Pungnam-dong 3-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
31,외래어 표기법,지명,,,에브로타스강,Evrotas,,그리스,기타 언어,,,,,,,,,그리스 남부 펠로폰네소스반도에 있는 강.,보유1,Y,2022-02-23 14:45:00,
31,국어의 로마자 표기법,,행정 구역,행정 구역,풍남동2가,,Pungnam-dong 2-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
32,외래어 표기법,지명,,,에비아섬,Évvoia섬,,그리스,기타 언어,,,,,,,,,에게해의 큰 섬의 하나.,"편수자료, 용례집, 표준국어대사전",Y,2022-02-23 14:45:00,
32,국어의 로마자 표기법,,행정 구역,행정 구역,풍남동1가,,Pungnam-dong 1-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
33,외래어 표기법,지명,,,파마구스타,Famagusta,,키프로스,기타 언어,,,,페마구스타,,,,,키프로스 동쪽 기슭에 있는 도시.,표준국어대사전,Y,2022-02-23 14:45:00,
33,국어의 로마자 표기법,,행정 구역,행정 구역,평화동3가,,Pyeonghwa-dong 3-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
34,외래어 표기법,지명,,,그리스,Greece,,그리스,기타 언어,,,,,,,,,유럽 동남부 발칸반도의 남쪽 끝에 위치한 공화국. 수도는 아테네.,"편수자료, 용례집, 표준국어대사전",Y,2022-02-23 14:45:00,
34,국어의 로마자 표기법,,행정 구역,행정 구역,평화동2가,,Pyeonghwa-dong 2-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
