항별연혁번호,규정번호,고시번호,규정코드,규정경로,시행일,구분,개정요약,이전내용,개정내용,항별연혁설명,노출여부,수정여부,등록일시,수정일시
74,778,5,한글 맞춤법,부록>11.>(1),2015-01-01 00:00:00,부,"표현 수정, 용례 수정",주격조사이가국가의3 요소국토국민주권,주격조사이가국가의성립 요소영토국민주권,"중괄호의 기본적인 용법을 설명하는 문장 표현을 수정함.[""여러 단위를 동등하게 묶어서 보일 때에 쓴다."" → ""같은 범주에 속하는 여러 요소를 세로로 묶어서 보일 때 쓴다.""]",Y,N,2018-10-23 16:53:00,2019-01-18 11:04:00
75,440,1,외래어 표기법,본문>제2장>표 7,2017-03-28 00:00:00,부,띄어쓰기 수정: '체코 어'→ '체코어',체코 어자모와 한글 대조표,체코어자모와 한글 대조표,"해', '섬', '강', '산' 등의 띄어쓰기에 관한 종전의 규정 때문에 접미사 '-어(語)' 또한 외래어 뒤에서는 띄어 쓰는 것을 원칙으로 하고 있었음. 접미사를 띄어 쓰는 예외를 인정할 수 없고 국어의 띄어쓰기는 한글 맞춤법의 규정을 따르는 것이 타당하므로 관련 규정(제4장 제3절 제1항)을 삭제하였으며, 접미사 ‘-어(語), -인(人), -족(族), -해(海)’ 및 명사 ‘섬, 강, 산, 산맥, 고원, 평야…’ 등을 외래어 뒤에서도 붙여 쓴다는 취지로을 수정함. 외래어 표기법의 규정문에 쓰인 '-어(語)'로 끝나는 말들의 띄어쓰기도 함께 수정함.",Y,N,2018-10-23 16:54:00,2019-01-09 17:28:00
76,779,5,한글 맞춤법,부록>11.>(2),2015-01-01 00:00:00,부,조항 신설,,"(2) 열거된 항목 중 어느 하나가 자유롭게 선택될 수 있음을 보일 때 쓴다.아이들이 모두 학교{에, 로, 까지} 갔어요.","열거된 항목 중 어느 하나가 자유롭게 선택될 수 있음을 보일 때 중괄호를 쓰는 경우를 추가로 기술함.[아이들이 모두 학교{에, 로, 까지} 갔어요.]",Y,N,2018-10-23 16:56:00,2019-01-18 11:08:00
77,441,1,외래어 표기법,본문>제2장>표 8,2017-03-28 00:00:00,부,띄어쓰기 수정: '세르보크로아트 어'→ '세르보크로아트어',세르보크로아트 어자모와 한글 대조표,세르보크로아트어자모와 한글 대조표,"해', '섬', '강', '산' 등의 띄어쓰기에 관한 종전의 규정 때문에 접미사 '-어(語)' 또한 외래어 뒤에서는 띄어 쓰는 것을 원칙으로 하고 있었음. 접미사를 띄어 쓰는 예외를 인정할 수 없고 국어의 띄어쓰기는 한글 맞춤법의 규정을 따르는 것이 타당하므로 관련 규정(제4장 제3절 제1항)을 삭제하였으며, 접미사 ‘-어(語), -인(人), -족(族), -해(海)’ 및 명사 ‘섬, 강, 산, 산맥, 고원, 평야…’ 등을 외래어 뒤에서도 붙여 쓴다는 취지로을 수정함. 외래어 표기법의 규정문에 쓰인 '-어(語)'로 끝나는 말들의 띄어쓰기도 함께 수정함.",Y,N,2018-10-23 16:57:00,2019-01-09 17:34:00
78,782,5,한글 맞춤법,부록>12.>(1),2015-01-01 00:00:00,부,"구조 변경, 표현 수정, 용례 추가 및 수정",(2) 묶음표 안에 또 묶음표가 있을 때에 쓴다.명령에 있어서의 불확실[단호(斷乎)하지 못함]은 복종에 있어서의 불확실[모호(模糊)함]을 낳는다.,"(1) 괄호 안에 또 괄호를 쓸 필요가 있을 때 바깥쪽의 괄호로 쓴다.어린이날이 새로 제정되었을 당시에는 어린이들에게 경어를 쓰라고 하였다.[윤석중 전집(1988), 70쪽 참조]이번 회의에는 두 명[이혜정(실장), 박철용(과장)]만 빼고 모두 참석했습니다.","조항의 위치를 12.(2)에서 12.(1)로 변경함.[""(2) 묶음표 안에 또 묶음표가 있을 때에 쓴다."" → ""(1) 괄호 안에 또 괄호를 쓸 필요가 있을 때 바깥쪽의 괄호로 쓴다.""]",Y,N,2018-10-23 16:58:00,2019-01-18 11:11:00
79,442,1,외래어 표기법,본문>제2장>표 9,2017-03-28 00:00:00,부,띄어쓰기 수정: '루마니아 어'→ '루마니아어',루마니아 어자모와 한글 대조표,루마니아어자모와 한글 대조표,"해', '섬', '강', '산' 등의 띄어쓰기에 관한 종전의 규정 때문에 접미사 '-어(語)' 또한 외래어 뒤에서는 띄어 쓰는 것을 원칙으로 하고 있었음. 접미사를 띄어 쓰는 예외를 인정할 수 없고 국어의 띄어쓰기는 한글 맞춤법의 규정을 따르는 것이 타당하므로 관련 규정(제4장 제3절 제1항)을 삭제하였으며, 접미사 ‘-어(語), -인(人), -족(族), -해(海)’ 및 명사 ‘섬, 강, 산, 산맥, 고원, 평야…’ 등을 외래어 뒤에서도 붙여 쓴다는 취지로을 수정함. 외래어 표기법의 규정문에 쓰인 '-어(語)'로 끝나는 말들의 띄어쓰기도 함께 수정함.",Y,N,2018-10-23 16:59:00,2019-01-09 17:34:00
80,783,5,한글 맞춤법,부록>12.>(2),2015-01-01 00:00:00,부,"구조 변경, 표현 수정",(1) 묶음표 안의 말이 바깥 말과 음이 다를 때에 쓴다.나이[年歲] 낱말[單語] 手足[손발],(2) 고유어에 대응하는 한자어를 함께 보일 때 쓴다.나이[年歲] 낱말[單語] 手足[손발],"조항의 위치를 12.(1)에서 12.(2)로 변경함.""(1) 묶음표 안의 말이 바깥 말과 음이 다를 때에 쓴다."" → ""(2) 고유어에 대응하는 한자어를 함께 보일 때 쓴다.""",Y,N,2018-10-23 16:59:00,2019-01-18 11:14:00
81,445,1,외래어 표기법,본문>제2장>표 10,2017-03-28 00:00:00,부,띄어쓰기 수정: '헝가리 어'→ '헝가리어',헝가리 어자모와 한글 대조표,헝가리어자모와 한글 대조표,"해', '섬', '강', '산' 등의 띄어쓰기에 관한 종전의 규정 때문에 접미사 '-어(語)' 또한 외래어 뒤에서는 띄어 쓰는 것을 원칙으로 하고 있었음. 접미사를 띄어 쓰는 예외를 인정할 수 없고 국어의 띄어쓰기는 한글 맞춤법의 규정을 따르는 것이 타당하므로 관련 규정(제4장 제3절 제1항)을 삭제하였으며, 접미사 ‘-어(語), -인(人), -족(族), -해(海)’ 및 명사 ‘섬, 강, 산, 산맥, 고원, 평야…’ 등을 외래어 뒤에서도 붙여 쓴다는 취지로을 수정함. 외래어 표기법의 규정문에 쓰인 '-어(語)'로 끝나는 말들의 띄어쓰기도 함께 수정함.",Y,N,2018-10-23 17:02:00,2019-01-10 14:26:00
82,784,5,한글 맞춤법,부록>12.>(3),2015-01-01 00:00:00,부,조항 신설,,"(3) 원문에 대한 이해를 돕기 위해 설명이나 논평 등을 덧붙일 때 쓴다.그것[한글]은 이처럼 정보화 시대에 알맞은 과학적인 문자이다.신경준의 ≪여암전서≫에 “삼각산은 산이 모두 돌 봉우리인데,그 으뜸 봉우리를 구름 위에 솟아 있다고 백운(白雲)이라 하며 [이하 생략]”그런 일은 결코 있을 수 없다.[원문에는 ‘업다’임.]",원문에 대한 이해를 돕기 위해 설명이나 논평 등을 덧붙일 때 대괄호를 쓰는 경우를 추가로 기술함.,Y,N,2018-10-23 17:04:00,2019-01-18 11:24:00
83,786,5,한글 맞춤법,부록>13.>,2015-01-01 00:00:00,부,"부호 추가, 내용 수정 및 보충",,책의 제목이나 신문 이름 등을 나타낼 때 쓴다.우리나라 최초의 민간 신문은 1896년에 창간된 『독립신문』이다.『훈민정음 』은 1997년에 유네스코 세계 기록 유산으로 지정되었다.≪한성순보≫는 우리나라 최초의 근대 신문이다.윤동주의 유고 시집인 ≪하늘과 바람과 별과 시≫에는 31편의 시가 실려 있다.[붙임] 겹낫표나 겹화살괄호 대신 큰따옴표를 쓸 수 있다.우리나라 최초의 민간 신문은 1896년에 창간된 “독립신문”이다.윤동주의 유고 시집인 “하늘과 바람과 별과 시”에는 31편의 시가 실려 있다.,겹화살괄호는 기존 규정에는 없는 부호였지만 현실적으로 널리 쓰이므로 개정안에 추가함. 겹낫표와 겹화살괄호는 상호 대체 가능하므로 한 조항에서 다룸. 큰따옴표도 책 제목 등을 나타낼 때 널리 쓰이고 있음을 반영하여 [붙임]을 기술함.,Y,N,2018-10-23 17:06:00,2019-01-18 11:27:00
84,788,5,한글 맞춤법,부록>14.>,2015-01-01 00:00:00,부,"부호 추가, 내용 수정 및 보충",,"소제목, 그림이나 노래와 같은 예술 작품의 제목, 상호, 법률, 규정 등을 나타낼 때 쓴다.「국어 기본법 시행령 」 은 「국어 기본법 」에서 위임된 사항과 그 시행에 필요한 사항을 규정함을 목적으로 한다.이 곡은 베르디가 작곡한 「축배의 노래」이다.사무실 밖에 「해와 달」이라고 쓴 간판을 달았다.은 사진집 ≪아름다운 땅≫에 실린 작품이다.백남준은 2005년에라는 작품을 선보였다.[붙임] 홑낫표나 홑화살괄호 대신 작은따옴표를 쓸 수 있다.사무실 밖에 ‘해와 달’이라고 쓴 간판을 달았다.‘한강’은 사진집 “아름다운 땅”에 실린 작품이다.","홑화살괄호는 기존 규정에는 없는 부호였지만 현실적으로 널리 쓰이므로 개정안에 추가함. 홑낫표와 홑화살괄호는 상호 대체 가능하므로 한 조항에서 다룸. 작은따옴표도 소제목, 법률명 등을 나타낼 때 널리 쓰이고 있음을 반영하여 [붙임]을 기술함.",Y,N,2018-10-23 17:08:00,2019-01-18 11:30:00
85,790,5,한글 맞춤법,부록>15.>,2015-01-01 00:00:00,부,"구조 변경, 내용 수정 및 보충","(1) 문장 중간에 앞의 내용에 대해 부연하는 말이 끼어들 때 쓴다.그 신동은 네 살에 ─ 보통 아이 같으면 천자문도 모를 나이에 ─ 벌써 시를 지었다.(2) 앞의 말을 정정 또는 변명하는 말이 이어질 때 쓴다.어머님께 말했다가 ─ 아니, 말씀드렸다가 ─ 꾸중만 들었다.이건 내 것이니까 ─ 아니, 내가 처음 발견한 것이니까 ─ 절대로 양보할 수가 없다.","제목 다음에 표시하는 부제의 앞뒤에 쓴다.이번 토론회의 제목은 ‘역사 바로잡기 ― 근대의 설정 ―’이다.‘환경 보호 ― 숲 가꾸기 ―’라는 제목으로 글짓기를 했다.다만, 뒤에 오는 줄표는 생략할 수 있다.이번 토론회의 제목은 ‘역사 바로잡기 ― 근대의 설정’이다.‘환경 보호 ― 숲 가꾸기’라는 제목으로 글짓기를 했다.","줄표의 기본적인 용법, [다만]을 수정 및 보충 하여 기술함.",Y,N,2018-10-23 17:10:00,2019-01-18 13:43:00
86,793,5,한글 맞춤법,부록>16.>(1),2015-01-01 00:00:00,부,조항 신설,,(1) 차례대로 이어지는 내용을 하나로 묶어 열거할 때 각 어구 사이에 쓴다.멀리뛰기는 도움닫기-도약-공중 자세-착지의 순서로 이루어진다.김 과장은 기획-실무-홍보까지 직접 발로 뛰었다.,붙임표를 써서 차례대로 이어지는 내용을 하나로 묶어 열거하는 용법을 새로 기술하였음.,Y,N,2018-10-23 17:13:00,2019-01-18 13:48:00
87,794,5,한글 맞춤법,부록>16.>(2),2015-01-01 00:00:00,부,조항 신설,,(2) 두 개 이상의 어구가 밀접한 관련이 있음을 나타내고자 할 때 쓴다.드디어 서울-북경의 항로가 열렸다.원-달러 환율남한-북한-일본 삼자 관계,붙임표를 써서 두 개 이상의 어구가 밀접한 관련이 있음을 나타내는 용법을 새로 기술하였음.,Y,N,2018-10-23 17:15:00,2019-01-18 13:52:00
88,446,1,외래어 표기법,본문>제2장>표 11,2017-03-28 00:00:00,부,띄어쓰기 수정: '스웨덴 어'→ '스웨덴어',스웨덴 어자모와 한글 대조표,스웨덴어자모와 한글 대조표,"해', '섬', '강', '산' 등의 띄어쓰기에 관한 종전의 규정 때문에 접미사 '-어(語)' 또한 외래어 뒤에서는 띄어 쓰는 것을 원칙으로 하고 있었음. 접미사를 띄어 쓰는 예외를 인정할 수 없고 국어의 띄어쓰기는 한글 맞춤법의 규정을 따르는 것이 타당하므로 관련 규정(제4장 제3절 제1항)을 삭제하였으며, 접미사 ‘-어(語), -인(人), -족(族), -해(海)’ 및 명사 ‘섬, 강, 산, 산맥, 고원, 평야…’ 등을 외래어 뒤에서도 붙여 쓴다는 취지로을 수정함. 외래어 표기법의 규정문에 쓰인 '-어(語)'로 끝나는 말들의 띄어쓰기도 함께 수정함.",Y,N,2018-10-23 17:16:00,2019-01-10 14:26:00
89,796,5,한글 맞춤법,부록>17.>,2015-01-01 00:00:00,부,"구조 변경, 표현 수정, [붙임] 추가, 용례 추가 및 수정",(1) ‘내지’라는 뜻에 쓴다.9월 15일∼9월 25일(2) 어떤 말의 앞이나 뒤에 들어갈 말 대신 쓴다.새마을: ∼ 운동 ∼ 노래-가(家): 음악∼ 미술∼,기간이나 거리 또는 범위를 나타낼 때 쓴다.9월 15일~9월 25일김정희(1786~1856)서울~천안 정도는 출퇴근이 가능하다.이번 시험의 범위는 3~78쪽입니다.[붙임] 물결표 대신 붙임표를 쓸 수 있다.9월 15일-9월 25일 김정희(1786-1856)서울-천안 정도는 출퇴근이 가능하다. 이번 시험의 범위는 3-78쪽입니다.,"조항의 표현을 수정하여 보다 구체적으로 기술함.(""‘내지’라는 뜻에 쓴다."" → ""기간이나 거리 또는 범위를 나타낼 때 쓴다."") [붙임]을 추가하여 물결표 대신 붙임표를 쓸 수 있음을 보임.",Y,N,2018-10-23 17:17:00,2019-01-18 13:55:00
90,447,1,외래어 표기법,본문>제2장>표 12,2017-03-28 00:00:00,부,띄어쓰기 수정: '노르웨이 어'→ '노르웨이어',노르웨이 어자모와 한글 대조표,노르웨이어자모와 한글 대조표,"해', '섬', '강', '산' 등의 띄어쓰기에 관한 종전의 규정 때문에 접미사 '-어(語)' 또한 외래어 뒤에서는 띄어 쓰는 것을 원칙으로 하고 있었음. 접미사를 띄어 쓰는 예외를 인정할 수 없고 국어의 띄어쓰기는 한글 맞춤법의 규정을 따르는 것이 타당하므로 관련 규정(제4장 제3절 제1항)을 삭제하였으며, 접미사 ‘-어(語), -인(人), -족(族), -해(海)’ 및 명사 ‘섬, 강, 산, 산맥, 고원, 평야…’ 등을 외래어 뒤에서도 붙여 쓴다는 취지로을 수정함. 외래어 표기법의 규정문에 쓰인 '-어(語)'로 끝나는 말들의 띄어쓰기도 함께 수정함.",Y,N,2018-10-23 17:19:00,2019-01-10 14:30:00
91,798,5,한글 맞춤법,부록>18.>,2015-01-01 00:00:00,부,"구조 변경, 내용 일부 삭제, 용례 추가 및 수정","·이나 ∘을 가로쓰기에는 글자 위에, 세로쓰기에는 글자 오른쪽에 쓴다. 문장 내용 중에서 주의가 미쳐야 할 곳이나 중요한 부분을 특별히 드러내 보일 때 쓴다.한글의 본이름은훈민정음이다.중요한 것은왜사느냐가 아니라어떻게사느냐하는 문제이다.[붙임] 가로쓰기에서는 밑줄( _____, ~~~~~~)을 치기도 한다.다음 보기에서 명사가아닌것은?",문장 내용 중에서 주의가 미쳐야 할 곳이나 중요한 부분을 특별히 드러내 보일 때 쓴다.한글의 본디 이름은훈민정음이다.중요한 것은왜사느냐가 아니라어떻게사느냐이다.지금 필요한 것은지식이 아니라실천입니다.다음 보기에서 명사가아닌것은?[붙임] 드러냄표나 밑줄 대신 작은따옴표를 쓸 수 있다.한글의 본디 이름은 ‘훈민정음’이다.중요한 것은 ‘왜 사느냐’가 아니라 ‘어떻게 사느냐’이다.지금 필요한 것은 ‘지식’이 아니라 ‘실천’입니다.다음 보기에서 명사가 ‘아닌’ 것은?,기존 부호 중에서 거의 쓰이지 않는 부호는 삭제함.,Y,N,2018-10-23 17:19:00,2019-01-18 13:58:00
92,801,5,한글 맞춤법,부록>19.>(1),2015-01-01 00:00:00,부,표현 일부 수정,"(1) 금기어나 공공연히 쓰기 어려운비속어의 경우,그 글자의 수효만큼 쓴다. 배운 사람 입에서 어찌 ○○○란 말이 나올 수 있느냐? 그 말을 듣는 순간 ×××란 말이 목구멍까지 치밀었다.","(1) 금기어나 공공연히 쓰기 어려운비속어임을 나타낼 때,그 글자의 수효만큼 쓴다. 배운 사람 입에서 어찌 ○○○란 말이 나올 수 있느냐? 그 말을 듣는 순간 ×××란 말이 목구멍까지 치밀었다.",기존 조항에서 설명을 일부 수정함. 예문은 동일함.,Y,N,2018-10-23 17:24:00,2019-01-18 14:02:00
93,448,1,외래어 표기법,본문>제2장>표 13,2017-03-28 00:00:00,부,띄어쓰기 수정: '덴마크 어'→ '덴마크어',덴마크 어자모와 한글 대조표,덴마크어자모와 한글 대조표,"해', '섬', '강', '산' 등의 띄어쓰기에 관한 종전의 규정 때문에 접미사 '-어(語)' 또한 외래어 뒤에서는 띄어 쓰는 것을 원칙으로 하고 있었음. 접미사를 띄어 쓰는 예외를 인정할 수 없고 국어의 띄어쓰기는 한글 맞춤법의 규정을 따르는 것이 타당하므로 관련 규정(제4장 제3절 제1항)을 삭제하였으며, 접미사 ‘-어(語), -인(人), -족(族), -해(海)’ 및 명사 ‘섬, 강, 산, 산맥, 고원, 평야…’ 등을 외래어 뒤에서도 붙여 쓴다는 취지로을 수정함. 외래어 표기법의 규정문에 쓰인 '-어(語)'로 끝나는 말들의 띄어쓰기도 함께 수정함.",Y,N,2018-10-23 17:25:00,2019-01-10 14:31:00
94,802,5,한글 맞춤법,부록>19.>(2),2015-01-01 00:00:00,부,"표현 수정, 용례 추가","(2)비밀을 유지할 사항일 경우, 그 글자의 수효만큼 쓴다.육군 ○○부대 ○○○ 명이 작전에 참가하였다. 그 모임의 참석자는 김×× 씨, 정×× 씨 등 5명이었다.","(2)비밀을 유지해야 하거나 밝힐 수 없는 사항임을 나타낼 때 쓴다.1차 시험 합격자는 김○영, 이○준, 박○순 등 모두 3명이다.육군 ○○ 부대 ○○○ 명이 작전에 참가하였다. 그 모임의 참석자는 김×× 씨, 정×× 씨 등 5명이었다.","비밀 사항인데도 글자 수효만큼 쓴다는 것은 모순이므로 문구를 일부 수정함.(""비밀을 유지할 사항일 경우, 그 글자의 수효만큼 쓴다."" → ""비밀을 유지해야 하거나 밝힐 수 없는 사항임을 나타낼 때 쓴다."")",Y,N,2018-10-23 17:26:00,2019-01-18 14:05:00
95,804,5,한글 맞춤법,부록>20.>(1),2015-01-01 00:00:00,부,표현 일부 수정,(1) 옛 비문이나서적등에서 글자가 분명하지 않을때에그 글자의 수효만큼 쓴다. 大師爲法主□□賴之大□薦(옛 비문),(1) 옛 비문이나문헌등에서 글자가 분명하지 않을때그 글자의 수효만큼 쓴다. 大師爲法主□□賴之大□薦,"""옛 비문이나 서적 등에서 글자가 분명하지 않을 때에 그 글자의 수효만큼 쓴다."" → ""옛 비문이나 문헌 등에서 글자가 분명하지 않을 때 그 글자의 수효만큼 쓴다.""",Y,N,2018-10-23 17:30:00,2019-01-18 14:08:00
96,451,1,외래어 표기법,본문>제2장>표 14,2017-03-28 00:00:00,부,띄어쓰기 수정: '말레이인도네시아 어'→ '말레이인도네시아어',말레이인도네시아 어자모와 한글 대조표,말레이인도네시아어자모와 한글 대조표,"해', '섬', '강', '산' 등의 띄어쓰기에 관한 종전의 규정 때문에 접미사 '-어(語)' 또한 외래어 뒤에서는 띄어 쓰는 것을 원칙으로 하고 있었음. 접미사를 띄어 쓰는 예외를 인정할 수 없고 국어의 띄어쓰기는 한글 맞춤법의 규정을 따르는 것이 타당하므로 관련 규정(제4장 제3절 제1항)을 삭제하였으며, 접미사 ‘-어(語), -인(人), -족(族), -해(海)’ 및 명사 ‘섬, 강, 산, 산맥, 고원, 평야…’ 등을 외래어 뒤에서도 붙여 쓴다는 취지로을 수정함. 외래어 표기법의 규정문에 쓰인 '-어(語)'로 끝나는 말들의 띄어쓰기도 함께 수정함.",Y,N,2018-10-23 17:30:00,2019-01-10 14:32:00
97,805,5,한글 맞춤법,부록>20.>(2),2015-01-01 00:00:00,부,구조 변경,(2) 글자가 들어가야 할 자리를 나타낼 때 쓴다. 훈민정음의 초성 중에서 아음(牙音)은 □□□의 석 자다.,(2) 글자가 들어가야 할 자리를 나타낼 때 쓴다. 훈민정음의 초성 중에서 아음(牙音)은 □□□의 석 자다.,기존 조항과 설명 및 예문 동일함.,Y,N,2018-10-23 17:31:00,2019-01-18 14:12:00
98,807,5,한글 맞춤법,부록>21.>(1),2015-01-01 00:00:00,부,표현 일부 수정,(1) 할 말을 줄였을때에쓴다. “어디 나하고 한번…….” 하고철수가나섰다.,(1) 할 말을 줄였을때쓴다. “어디 나하고 한번…….” 하고민수가나섰다.,"""할 말을 줄였을 때에 쓴다."" → ""할 말을 줄였을 때 쓴다.""",Y,N,2018-10-23 17:34:00,2019-01-18 14:15:00
99,453,1,외래어 표기법,본문>제2장>표 15,2017-03-28 00:00:00,부,띄어쓰기 수정: '타이 어'→ '타이어',타이 어자모와 한글 대조표,타이어자모와 한글 대조표,"해', '섬', '강', '산' 등의 띄어쓰기에 관한 종전의 규정 때문에 접미사 '-어(語)' 또한 외래어 뒤에서는 띄어 쓰는 것을 원칙으로 하고 있었음. 접미사를 띄어 쓰는 예외를 인정할 수 없고 국어의 띄어쓰기는 한글 맞춤법의 규정을 따르는 것이 타당하므로 관련 규정(제4장 제3절 제1항)을 삭제하였으며, 접미사 ‘-어(語), -인(人), -족(族), -해(海)’ 및 명사 ‘섬, 강, 산, 산맥, 고원, 평야…’ 등을 외래어 뒤에서도 붙여 쓴다는 취지로을 수정함. 외래어 표기법의 규정문에 쓰인 '-어(語)'로 끝나는 말들의 띄어쓰기도 함께 수정함.",Y,N,2018-10-23 17:36:00,2019-01-15 17:41:00
100,808,5,한글 맞춤법,부록>21.>(2),2015-01-01 00:00:00,부,표현 일부 수정,(2) 말이 없음을 나타낼때에쓴다. “빨리 말해!” “…….”,(2) 말이 없음을 나타낼때쓴다. “빨리 말해!” “…….”,"""말이 없음을 나타낼 때에 쓴다."" → ""말이 없음을 나타낼 때 쓴다.""",Y,N,2018-10-23 17:36:00,2019-01-18 14:18:00
101,809,5,한글 맞춤법,부록>21.>(3),2015-01-01 00:00:00,부,조항 신설,,"(3) 문장이나 글의 일부를 생략할 때 쓴다.‘고유’라는 말은 문자 그대로 본디부터 있었다는 뜻은 아닙니다. …… 같은 역사적 환경에서 공동의 집단생활을 영위해 오는 동안공동으로 발견된, 사물에 대한 공동의 사고방식을 우리는 한국의 고유 사상이라 부를 수 있다는 것입니다.",문장이나 글의 일부를 생략할 때 줄임표를 쓰는 용법을 추가로 기술함.,Y,N,2018-10-23 17:37:00,2019-01-18 15:14:00
102,810,5,한글 맞춤법,부록>21.>(4),2015-01-01 00:00:00,부,조항 신설,,(4) 머뭇거림을 보일 때 쓴다.“우리는 모두…… 그러니까…… 예외 없이 눈물만…… 흘렸다.”,머뭇거림을 보일 때 줄임표를 쓰는 용법을 추가로 기술함.,Y,N,2018-10-23 17:39:00,2019-01-18 15:20:00
103,811,5,한글 맞춤법,부록>21.>[붙임 1],2015-01-01 00:00:00,부,[붙임 1] 추가,,[붙임 1] 점은 가운데에 찍는 대신 아래쪽에 찍을 수도 있다.“어디 나하고 한번.......” 하고 민수가 나섰다.“실은...... 저 사람...... 우리 아저씨일지 몰라.”,실제 온점(마침표)으로 줄임표를 대신하는 경우가 많으므로 이와 같이 쓰는 것을 인정함.,Y,N,2018-10-23 17:40:00,2019-01-18 15:23:00
104,812,5,한글 맞춤법,부록>21.>[붙임 2],2015-01-01 00:00:00,부,[붙임 2] 추가,,[붙임 2] 점은 여섯 점을 찍는 대신 세 점을 찍을 수도 있다.“어디 나하고 한번….” 하고 민수가 나섰다.“실은... 저 사람... 우리 아저씨일지 몰라.”,실제 점을 세 개만 찍는 경우가 많으므로 이와 같이 쓰는 것을 인정함.,Y,N,2018-10-23 17:42:00,2019-01-18 15:33:00
105,813,5,한글 맞춤법,부록>21.>[붙임 3],2015-01-01 00:00:00,부,[붙임 3] 추가,,"[붙임 3] 줄임표는 앞말에 붙여 쓴다. 다만, (3)에서는 줄임표의 앞뒤를 띄어 쓴다.줄임표는 앞말에 붙여 쓴다. 다만, (3)에서는 줄임표의 앞뒤를 띄어 쓴다.",그동안 관례로 구분해 온 줄임표의 띄어쓰기를 구체적으로 규정함.,Y,N,2018-10-23 17:43:00,2019-01-18 15:36:00
106,454,1,외래어 표기법,본문>제2장>표 16,2017-03-28 00:00:00,부,띄어쓰기 수정: '베트남 어'→ '베트남어',베트남 어자모와 한글 대조표,베트남어자모와 한글 대조표,"해', '섬', '강', '산' 등의 띄어쓰기에 관한 종전의 규정 때문에 접미사 '-어(語)' 또한 외래어 뒤에서는 띄어 쓰는 것을 원칙으로 하고 있었음. 접미사를 띄어 쓰는 예외를 인정할 수 없고 국어의 띄어쓰기는 한글 맞춤법의 규정을 따르는 것이 타당하므로 관련 규정(제4장 제3절 제1항)을 삭제하였으며, 접미사 ‘-어(語), -인(人), -족(族), -해(海)’ 및 명사 ‘섬, 강, 산, 산맥, 고원, 평야…’ 등을 외래어 뒤에서도 붙여 쓴다는 취지로을 수정함. 외래어 표기법의 규정문에 쓰인 '-어(語)'로 끝나는 말들의 띄어쓰기도 함께 수정함.",Y,N,2018-10-23 17:45:00,2019-01-15 17:44:00
107,455,1,외래어 표기법,본문>제2장>표 17,2017-03-28 00:00:00,부,띄어쓰기 수정: '포르투갈 어'→ '포르투갈어',"포르투갈 어자모와 한글 대조표 * k, w, y는 외래어나 외래어에서 파생된 포르투갈식 어휘 또는 국제적으로 통용되는 약자나 기호의 표기에서 사용되는 것으로포르투갈 어알파벳에 속하지 않으므로 해당 외래어 발음에 가깝게 표기한다. * (브)는 브라질포르투갈 어에 적용되는 표기이다.","포르투갈어자모와 한글 대조표 * k, w, y는 외래어나 외래어에서 파생된 포르투갈식 어휘 또는 국제적으로 통용되는 약자나 기호의 표기에서 사용되는 것으로포르투갈어알파벳에 속하지 않으므로 해당 외래어 발음에 가깝게 표기한다. * (브)는 브라질포르투갈어에 적용되는 표기이다.","해', '섬', '강', '산' 등의 띄어쓰기에 관한 종전의 규정 때문에 접미사 '-어(語)' 또한 외래어 뒤에서는 띄어 쓰는 것을 원칙으로 하고 있었음. 접미사를 띄어 쓰는 예외를 인정할 수 없고 국어의 띄어쓰기는 한글 맞춤법의 규정을 따르는 것이 타당하므로 관련 규정(제4장 제3절 제1항)을 삭제하였으며, 접미사 ‘-어(語), -인(人), -족(族), -해(海)’ 및 명사 ‘섬, 강, 산, 산맥, 고원, 평야…’ 등을 외래어 뒤에서도 붙여 쓴다는 취지로을 수정함. 외래어 표기법의 규정문에 쓰인 '-어(語)'로 끝나는 말들의 띄어쓰기도 함께 수정함.",Y,N,2018-10-23 17:53:00,2019-01-15 17:44:00
108,457,1,외래어 표기법,본문>제2장>표 18,2017-03-28 00:00:00,부,띄어쓰기 수정: '네덜란드 어'→ '네덜란드어',네덜란드 어자모와 한글 대조표,네덜란드어자모와 한글 대조표,"해', '섬', '강', '산' 등의 띄어쓰기에 관한 종전의 규정 때문에 접미사 '-어(語)' 또한 외래어 뒤에서는 띄어 쓰는 것을 원칙으로 하고 있었음. 접미사를 띄어 쓰는 예외를 인정할 수 없고 국어의 띄어쓰기는 한글 맞춤법의 규정을 따르는 것이 타당하므로 관련 규정(제4장 제3절 제1항)을 삭제하였으며, 접미사 ‘-어(語), -인(人), -족(族), -해(海)’ 및 명사 ‘섬, 강, 산, 산맥, 고원, 평야…’ 등을 외래어 뒤에서도 붙여 쓴다는 취지로을 수정함. 외래어 표기법의 규정문에 쓰인 '-어(語)'로 끝나는 말들의 띄어쓰기도 함께 수정함.",Y,N,2018-10-23 18:00:00,2019-01-15 17:45:00
