항별연혁번호,규정번호,고시번호,규정코드,규정경로,시행일,구분,개정요약,이전내용,개정내용,항별연혁설명,노출여부,수정여부,등록일시,수정일시
32,730,5,한글 맞춤법,부록>3.>(3),2015-01-01 00:00:00,부,"구조 변경, 표현 일부 수정",(4)물음의말로써놀람이나 항의의 뜻을 나타내는 경우에 쓴다. 이게 누구야! 내가 왜 나빠!,(3)물음의말로놀람이나 항의의 뜻을 나타내는 경우에 쓴다. 이게 누구야! 내가 왜 나빠!,"조항의 위치를 Ⅰ.3.(4)에서 3.(3)으로 변경함.[""(4) 물음의 말로써 놀람이나 항의의 뜻을 나타내는 경우에 쓴다."" → ""(3) 물음의 말로 놀람이나 항의의 뜻을 나타내는 경우에 쓴다.""]",Y,N,2018-10-23 14:44:00,2019-01-21 15:56:00
33,731,5,한글 맞춤법,부록>3.>(4),2015-01-01 00:00:00,부,"구조 변경, 표현 수정, 용례 추가 및 수정","(3) 감정을 넣어 다른 사람을 부르거나 대답할 적에 쓴다.춘향아! 예, 도련님!","(4) 감정을 넣어 대답하거나 다른 사람을 부를 때 쓴다.네! 네, 선생님! 흥부야! 언니!","조항의 위치를 Ⅰ.3.(3)에서 3.(4)로 변경함.[""(3) 감정을 넣어 다른 사람을 부르거나 대답할 적에 쓴다."" → ""(4) 감정을 넣어 대답하거나 다른 사람을 부를 때 쓴다.""]",Y,N,2018-10-23 14:56:00,2019-01-21 15:57:00
34,733,5,한글 맞춤법,부록>4.>(1),2015-01-01 00:00:00,부,"내용 일부 수정 및 보충, [다만] 추가, 용례 추가","(1)같은 자격의 어구가 열거될 때에 쓴다.근면, 검소, 협동은 우리 겨레의 미덕이다. 충청도의 계룡산, 전라도의 내장산, 강원도의 설악산은 모두 국립 공원이다.다만,조사로 연결될 적에는 쓰지 않는다.매화와 난초와 국화와 대나무를 사군자라고 한다.","(1)같은 자격의 어구를 열거할 때 그 사이에 쓴다.근면, 검소, 협동은 우리 겨레의 미덕이다. 충청도의 계룡산, 전라도의 내장산, 강원도의 설악산은 모두 국립 공원이다.집을 보러 가면 그 집이 내가 원하는 조건에 맞는지, 살기에 편한지, 망가진 곳은 없는지 확인해야 한다.5보다 작은 자연수는 1, 2, 3, 4이다.다만, (가) 쉼표 없이도 열거되는 사항임이 쉽게 드러날 때는 쓰지 않을 수 있다.아버지 어머니께서 함께 오셨어요.네 돈 내 돈 다 합쳐 보아야 만 원도 안 되겠다.(나) 열거할 어구들을 생략할 때 사용하는 줄임표 앞에는 쉼표를 쓰지 않는다.광역시: 광주, 대구, 대전……","조항 수정: 표현을 수정함.(""같은 자격의 어구가 열거될 때에 쓴다."" → ""같은 자격의 어구를 열거할 때 그 사이에 쓴다."") [다만] 추가: (가), (나)를 추가하여 쉼표의 용법에 관한 구체적인 설명을 보충함.",Y,N,2018-10-23 14:58:00,2019-01-21 15:05:00
35,734,5,한글 맞춤법,부록>4.>(2),2015-01-01 00:00:00,부,조항 수정,(2) 짝을 지어구별할 필요가 있을 때에 쓴다.,(2) 짝을 지어구별할 때 쓴다.,"표현을 명료하게 수정함.(""짝을 지어 구별할 필요가 있을 때에 쓴다."" → ""짝을 지어 구별할 때 쓴다."")",Y,N,2018-10-23 15:00:00,2019-01-21 15:10:00
36,735,5,한글 맞춤법,부록>4.>(3),2015-01-01 00:00:00,부,"구조 변경, 표현 수정, 용례 수정","(14) 수의 폭이나 개략의 수를 나타낼 때에 쓴다.5, 6 세기 6, 7 개","(3) 이웃하는 수를 개략적으로 나타낼 때 쓴다.5, 6세기 6, 7, 8개","조항의 위치를 Ⅱ.1.(14)에서 4.(3)으로 변경하고 표현을 수정함.[""Ⅱ.1.(14) 수의 폭이나 개략의 수를 나타낼 때에 쓴다."" → ""4.(3) 이웃하는 수를 개략적으로 나타낼 때 쓴다.""]",Y,N,2018-10-23 15:03:00,2019-01-21 16:50:00
37,736,5,한글 맞춤법,부록>4.>(4),2015-01-01 00:00:00,부,"구조 변경, 표현 수정, 용례 수정","(9) 문장 첫머리의 접속이나 연결을 나타내는 말 다음에 쓴다.첫째, 몸이 튼튼해야된다.아무튼, 나는 집에 돌아가겠다.다만, 일반적으로 쓰이는 접속어(그러나, 그러므로, 그리고, 그런데 등) 뒤에는 쓰지 않음을 원칙으로 한다.그러나 너는 실망할 필요가 없다.","(4) 열거의 순서를 나타내는 어구 다음에 쓴다.첫째, 몸이 튼튼해야한다.마지막으로, 무엇보다 마음이 편해야 한다.","조항의 위치를 Ⅱ.1.(9)에서 4.(4)로 변경하고 표현을 수정함.[""Ⅱ.1.(9) 문장 첫머리의 접속이나 연결을 나타내는 말 다음에 쓴다."" → ""4.(4) 열거의 순서를 나타내는 어구 다음에 쓴다.""]",Y,N,2018-10-23 15:05:00,2019-01-21 16:44:00
38,737,5,한글 맞춤법,부록>4.>(5),2015-01-01 00:00:00,부,"구조 변경, 표현 수정, 용례 추가 및 수정","(4) 대등하거나 종속적인 절이 이어질 때에 절 사이에 쓴다.콩 심으면 콩 나고, 팥 심으면 팥 난다.흰 눈이 내리니, 경치가 더욱 아름답다.","(5) 문장의 연결 관계를 분명히 하고자 할 때 절과 절 사이에 쓴다.콩 심은 데 콩 나고, 팥 심은 데 팥 난다.저는 신뢰와 정직을 생명과 같이 여기고 살아온바, 이번 비리 사건과는 무관하다는 점을 분명히 밝힙니다.떡국은 설날의 대표적인 음식인데, 이걸 먹어야 비로소 나이도 한 살 더 먹는다고 한다.","조항의 위치를 Ⅱ.1.(4)에서 4.(5)로 변경하고 표현을 수정함.[""Ⅱ.1.(4) 대등하거나 종속적인 절이 이어질 때에 절 사이에 쓴다."" → ""4.(5) 문장의 연결 관계를 분명히 하고자 할 때 절과 절 사이에 쓴다.""]",Y,N,2018-10-23 15:08:00,2019-01-21 16:46:00
39,738,5,한글 맞춤법,부록>4.>(6),2015-01-01 00:00:00,부,"구조 변경, 표현 수정","(11) 되풀이를 피하기 위하여 한 부분을 줄일 때에 쓴다.여름에는 바다에서, 겨울에는 산에서 휴가를 즐겼다.","(6) 같은 말이 되풀이되는 것을 피하기 위하여 일정한 부분을 줄여서 열거할 때 쓴다.여름에는 바다에서, 겨울에는 산에서 휴가를 즐겼다.","조항의 위치를 Ⅱ.1.(11)에서 4.(6)으로 변경하고 표현을 수정함.[""(11) 되풀이를 피하기 위하여 한 부분을 줄일 때에 쓴다."" → ""(6) 같은 말이 되풀이되는 것을 피하기 위하여 일정한 부분을 줄여서 열거할 때 쓴다.""]",Y,N,2018-10-23 15:09:00,2019-01-21 16:47:00
40,739,5,한글 맞춤법,부록>4.>(7),2015-01-01 00:00:00,부,"구조 변경, 표현 일부 수정, 용례 수정","(5) 부르는 말이나대답하는 말 뒤에 쓴다.얘야, 이리 오너라. 예, 지금 가겠읍니다.","(7) 부르거나대답하는 말 뒤에 쓴다.지은아, 이리 좀 와 봐. 네, 지금 가겠습니다.","조항의 위치를 Ⅱ.1.(5)에서 4.(7)로 변경하고 표현을 수정함.[""(5) 부르는 말이나 대답하는 말 뒤에 쓴다."" → ""(7) 부르거나 대답하는 말 뒤에 쓴다.""]",Y,N,2018-10-23 15:13:00,2019-01-21 16:49:00
41,740,5,한글 맞춤법,부록>4.>(8),2015-01-01 00:00:00,부,조항 신설,,"(8) 한 문장 안에서 앞말을 ‘곧’, ‘다시 말해’ 등과 같은 어구로 다시 설명할 때 앞말 다음에 쓴다.책의 서문, 곧 머리말에는 책을 지은 목적이 드러나 있다.원만한 인간관계는 말과 관련한 예의, 즉 언어 예절을 갖추는 것에서 시작된다.호준이 어머니, 다시 말해 나의 누님은 올해로 결혼한 지 20년이 된다.나에게도 작은 소망, 이를테면 나만의 정원을 가졌으면 하는 소망이 있어.","""(8) 한 문장 안에서 앞말을 ‘곧’, ‘다시 말해’ 등과 같은 어구로 다시 설명할 때 앞말 다음에 쓴다.""의 내용을 추가하여, 쉼표의 용법을 보다 구체적으로 기술함.",Y,N,2018-10-23 15:16:00,2019-01-18 09:16:00
