항별연혁번호,고시번호,규정번호,결정근거번호,규정코드,제목,등록일시
42,5,741,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-21 17:31:00
43,5,742,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-18 09:34:00
43,5,742,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-18 09:34:00
43,5,742,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-18 09:34:00
43,5,742,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-18 09:34:00
43,5,742,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-18 09:34:00
43,5,742,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-18 09:34:00
44,5,743,1,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-21 16:01:00
44,5,743,2,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-21 16:01:00
44,5,743,3,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-21 16:01:00
44,5,743,4,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-21 16:01:00
44,5,743,5,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-21 16:01:00
44,5,743,6,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-21 16:01:00
45,5,744,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-21 16:00:00
45,5,744,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-21 16:00:00
45,5,744,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-21 16:00:00
45,5,744,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-21 16:00:00
45,5,744,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-21 16:00:00
45,5,744,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-21 16:00:00
46,5,745,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-21 16:02:00
46,5,745,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-21 16:02:00
46,5,745,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-21 16:02:00
46,5,745,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-21 16:02:00
46,5,745,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-21 16:02:00
46,5,745,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-21 16:02:00
47,5,746,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-18 09:46:00
47,5,746,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-18 09:46:00
47,5,746,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-18 09:46:00
47,5,746,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-18 09:46:00
47,5,746,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-18 09:46:00
47,5,746,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-18 09:46:00
48,5,747,1,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-18 09:50:00
48,5,747,2,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-18 09:50:00
48,5,747,3,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-18 09:50:00
48,5,747,4,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-18 09:50:00
48,5,747,5,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-18 09:50:00
48,5,747,6,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-18 09:50:00
49,5,750,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-18 09:53:00
49,5,750,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-18 09:53:00
49,5,750,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-18 09:53:00
49,5,750,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-18 09:53:00
49,5,750,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-18 09:53:00
49,5,750,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-18 09:53:00
50,5,751,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-21 17:36:00
50,5,751,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-21 17:36:00
50,5,751,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-21 17:36:00
50,5,751,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-21 17:36:00
50,5,751,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-21 17:36:00
50,5,751,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-21 17:36:00
51,5,752,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-18 09:58:00
51,5,752,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-18 09:58:00
51,5,752,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-18 09:58:00
51,5,752,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-18 09:58:00
51,5,752,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-18 09:58:00
51,5,752,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-18 09:58:00
52,5,754,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-21 17:39:00
52,5,754,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-21 17:39:00
52,5,754,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-21 17:39:00
52,5,754,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-21 17:39:00
52,5,754,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-21 17:39:00
52,5,754,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-21 17:39:00
53,5,755,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-18 10:04:00
53,5,755,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-18 10:04:00
53,5,755,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-18 10:04:00
53,5,755,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-18 10:04:00
53,5,755,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-18 10:04:00
53,5,755,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-18 10:04:00
54,5,756,1,한글 맞춤법,국어심의회(2012. 11. 30.),2019-02-18 16:10:00
54,5,756,2,한글 맞춤법,국어심의회(2013. 4. 12.),2019-02-18 16:10:00
54,5,756,3,한글 맞춤법,국어심의회(2014. 2. 5.),2019-02-18 16:10:00
54,5,756,4,한글 맞춤법,국어심의회(2014. 8. 29.),2019-02-18 16:10:00
54,5,756,5,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-02-18 16:10:00
54,5,756,6,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-02-18 16:10:00
55,1,434,1,외래어 표기법,국어심의회(2016. 11. 30.),2019-01-09 09:50:00
56,5,757,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-03-05 17:33:00
56,5,757,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-03-05 17:33:00
56,5,757,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-03-05 17:33:00
56,5,757,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-03-05 17:33:00
56,5,757,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-03-05 17:33:00
56,5,757,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-03-05 17:33:00
57,1,435,1,외래어 표기법,국어심의회(2016. 11. 30.),2019-01-09 15:10:00
58,5,760,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-18 10:23:00
58,5,760,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-18 10:23:00
58,5,760,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-18 10:23:00
58,5,760,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-18 10:23:00
58,5,760,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-18 10:23:00
58,5,760,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-18 10:23:00
59,5,761,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-18 10:25:00
59,5,761,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-18 10:25:00
59,5,761,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-18 10:25:00
59,5,761,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-18 10:25:00
59,5,761,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-18 10:25:00
59,5,761,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-18 10:25:00
60,1,436,1,외래어 표기법,국어심의회(2016. 11. 30.),2019-01-09 15:10:00
61,5,762,1,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-18 10:28:00
61,5,762,2,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-18 10:28:00
61,5,762,3,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-18 10:28:00
61,5,762,4,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-18 10:28:00
61,5,762,5,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-18 10:28:00
61,5,762,6,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-18 10:28:00
62,5,765,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-21 17:50:00
62,5,765,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-21 17:50:00
62,5,765,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-21 17:50:00
62,5,765,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-21 17:50:00
62,5,765,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-21 17:50:00
62,5,765,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-21 17:50:00
63,5,766,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-21 17:53:00
63,5,766,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-21 17:53:00
63,5,766,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-21 17:53:00
63,5,766,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-21 17:53:00
63,5,766,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-21 17:53:00
63,5,766,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-21 17:53:00
64,5,768,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-21 17:54:00
64,5,768,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-21 17:54:00
64,5,768,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-21 17:54:00
64,5,768,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-21 17:54:00
64,5,768,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-21 17:54:00
64,5,768,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-21 17:54:00
65,5,769,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-21 17:58:00
